layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution
0,1,80,80.0,0.0,1,80.0,970,0.0,0.0
1,80,351,4.3875,6.581211419640003,80,4.3875,970,0.5878092783505154,0.4008903133903134
2,351,0,0.0,0.0,0,0.0,970,0.46956853760977474,0.0
