layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,5.400711813772145,0.005
1,80,3160,3160,2344.8316615535155,0.7420353359346568,970,3.5946835160829624,0.005
2,351,61425,61425,45862.18734577125,0.7466371566263126,970,3.0713875470542367,0.005
