layer,node_count,total_documents,avg_documents_per_node,weighted_avg_npmi,weighted_avg_c_v,weighted_avg_u_mass,simple_avg_npmi,simple_avg_c_v,simple_avg_u_mass,std_npmi,std_c_v,std_u_mass,top_k,eta,gamma,depth,alpha
0,1,970,970.0,0.013885924146951547,0.48573015805465874,-0.6050166986005817,0.013885924146951547,0.48573015805465874,-0.6050166986005818,,,,5,0.005,0.05,3,0.1
1,80,970,12.125,0.029037333888005553,0.5295318818545804,-2.2866072390535366,0.028089016713308455,0.5542463800316119,-2.82532024427207,0.18333982384158395,0.14290041703257753,1.5565856715021398,5,0.005,0.05,3,0.1
2,351,970,2.7635327635327633,0.08213760483737052,0.5754096542350008,-2.528528129322671,0.06453116617777671,0.5529095945490525,-2.6171637487126556,0.13934890586687756,0.14817399606573822,1.3082301612829763,5,0.005,0.05,3,0.1
