alpha,parent_layer,child_layer,avg_js_distance_mean,avg_js_distance_std,avg_js_distance_count,weighted_avg_js_distance_mean,weighted_avg_js_distance_std,pair_count_mean,eta_used_first,run_id_<lambda>
0.2,0.0,1.0,0.6536,0.0019,3,0.636,0.0341,72.0,0.05,"1, 2, 3"
0.2,1.0,2.0,0.6018,0.0015,3,0.6301,0.0006,254.6667,0.05,"1, 2, 3"
