alpha,parent_layer,child_layer,simple_avg_js_distance_mean,simple_avg_js_distance_std,simple_avg_js_distance_count,std_js_distance_mean,median_js_distance_mean,min_js_distance_min,max_js_distance_max,pair_count_mean,eta_used_first,run_id_<lambda>
0.2,0.0,1.0,0.6536,0.0019,3,0.0214,0.6537,0.4984,0.7087,72.0,0.05,"1, 2, 3"
0.2,1.0,2.0,0.6018,0.0015,3,0.0732,0.6018,0.3287,0.7399,254.6667,0.05,"1, 2, 3"
