alpha,top_k,layer,weighted_avg_npmi_mean,weighted_avg_npmi_std,weighted_avg_npmi_count,weighted_avg_c_v_mean,weighted_avg_c_v_std,weighted_avg_c_v_count,weighted_avg_u_mass_mean,weighted_avg_u_mass_std,weighted_avg_u_mass_count,simple_avg_npmi_mean,simple_avg_npmi_std,simple_avg_c_v_mean,simple_avg_c_v_std,simple_avg_u_mass_mean,simple_avg_u_mass_std,node_count_mean,total_documents_mean,run_id_<lambda>
0.2,5,0.0,0.0059,0.0076,3,0.4993,0.0163,3,-0.5853,0.0179,3,0.0059,0.0076,0.4993,0.0163,-0.5853,0.0179,1.0,970.0,"1, 2, 3"
0.2,5,1.0,0.0716,0.0128,3,0.5866,0.0152,3,-2.1948,0.2325,3,0.0654,0.0099,0.5402,0.008,-2.6981,0.0683,72.0,970.0,"1, 2, 3"
0.2,5,2.0,0.0635,0.0157,3,0.5633,0.0178,3,-2.8816,0.1301,3,0.0519,0.0131,0.5592,0.0116,-2.8803,0.0684,254.6667,970.0,"1, 2, 3"
