alpha,parent_layer,child_layer,simple_avg_js_distance_mean,simple_avg_js_distance_std,simple_avg_js_distance_count,std_js_distance_mean,median_js_distance_mean,min_js_distance_min,max_js_distance_max,pair_count_mean,eta_used_first,run_id_<lambda>
1.0,0.0,1.0,0.6595,0.0011,3,0.019,0.6622,0.5313,0.6997,60.6667,0.05,"1, 2, 3"
1.0,1.0,2.0,0.6137,0.0064,3,0.0677,0.6166,0.3609,0.7401,257.3333,0.05,"1, 2, 3"
