parent_id,parent_layer,child_id,child_layer,js_distance,parent_doc_count,child_doc_count
0,0,1,1,0.4308009152393797,970,507
1,1,2,2,0.6837578510913531,507,41
1,1,3,2,0.6557464551091149,507,8
0,0,14,1,0.6194329866653173,970,33
0,0,21,1,0.6282181035217216,970,25
0,0,27,1,0.6210139609448972,970,17
0,0,30,1,0.6294507222298408,970,11
0,0,37,1,0.619246730409239,970,8
21,1,44,2,0.6575527273484169,25,16
1,1,46,2,0.6762555029090601,507,15
0,0,48,1,0.6373839261962055,970,27
0,0,58,1,0.6243479495884201,970,14
1,1,70,2,0.6670769889331373,507,13
0,0,77,1,0.6127883698740311,970,7
27,1,94,2,0.5506591058348282,17,7
1,1,102,2,0.6718272349492798,507,14
1,1,117,2,0.6315573795550403,507,13
1,1,118,2,0.6674604149314806,507,36
1,1,124,2,0.6357346717004576,507,7
0,0,135,1,0.6043521234698102,970,11
1,1,150,2,0.6253313376332943,507,12
1,1,179,2,0.6647180073348165,507,20
1,1,197,2,0.6457794387494724,507,15
0,0,204,1,0.6407171734855853,970,17
1,1,229,2,0.6599454392167559,507,21
0,0,242,1,0.6068736936746891,970,30
1,1,292,2,0.6465767837842363,507,10
14,1,327,2,0.5837862620827072,33,13
1,1,345,2,0.6758202675913965,507,12
1,1,359,2,0.6726441588753506,507,16
0,0,458,1,0.6263955843130313,970,15
1,1,480,2,0.662155851437677,507,9
1,1,492,2,0.6326634997282441,507,23
1,1,524,2,0.6472654445436169,507,7
0,0,561,1,0.6253475196560884,970,15
1,1,573,2,0.6491488787123945,507,15
1,1,574,2,0.6379375548110957,507,6
1,1,640,2,0.6453229729453743,507,11
1,1,768,2,0.6787339334576674,507,18
1,1,803,2,0.6534532880935509,507,5
1,1,960,2,0.6843727109713448,507,16
135,1,1032,2,0.5455250302484338,11,5
1,1,1291,2,0.6193187925714645,507,8
0,0,1292,1,0.6128949113371123,970,18
1,1,1363,2,0.6756604698557677,507,15
27,1,1367,2,0.4712403054758214,17,5
1,1,1467,2,0.6406020781945695,507,6
37,1,1527,2,0.542068452793792,8,8
1,1,1589,2,0.6586161357106552,507,13
48,1,1664,2,0.5520625811932419,27,10
1,1,1711,2,0.6343627097703469,507,9
1,1,1925,2,0.6804666920132996,507,17
1292,1,2170,2,0.5807348972910764,18,17
0,0,2214,1,0.6153909043437571,970,11
2214,1,2215,2,0.5251009806608209,11,11
1,1,2428,2,0.6552054875268881,507,11
1,1,3184,2,0.6507555168652405,507,8
0,0,3185,1,0.5776249113995304,970,8
1,1,3468,2,0.6396738962888525,507,5
58,1,3646,2,0.5058087266405016,14,4
77,1,3706,2,0.52789939841637,7,7
0,0,3757,1,0.6316050793894518,970,14
0,0,3811,1,0.6144527761117992,970,4
14,1,3827,2,0.5626066742163314,33,11
0,0,4460,1,0.6140098470146462,970,6
242,1,4601,2,0.604399418786731,30,9
1,1,4634,2,0.6404080079305817,507,4
0,0,5384,1,0.6476962329006363,970,7
1,1,5537,2,0.649621931135501,507,5
48,1,5550,2,0.5979431691968465,27,8
0,0,5831,1,0.6196237644700431,970,13
0,0,6073,1,0.6108798617354005,970,16
561,1,6107,2,0.5800631948522639,15,7
0,0,6311,1,0.599585523843364,970,14
0,0,6510,1,0.5891822202513732,970,5
58,1,6740,2,0.54997782383639,14,10
0,0,7233,1,0.6257609800531687,970,12
4460,1,7491,2,0.46487801821312535,6,6
0,0,7583,1,0.6123402537295513,970,5
0,0,7594,1,0.6169466345544755,970,8
3185,1,7616,2,0.46302604476985204,8,6
0,0,7678,1,0.6299348905249096,970,16
1,1,7696,2,0.6389859286563421,507,5
7678,1,7722,2,0.49408042358967524,16,6
0,0,7945,1,0.5933356393293394,970,10
1,1,8009,2,0.6284873905192441,507,6
1,1,8189,2,0.6489346210619571,507,7
458,1,8252,2,0.5430475392603924,15,8
0,0,8332,1,0.6108644840747636,970,5
3757,1,8426,2,0.5368646254547141,14,8
7233,1,8449,2,0.502080408978,12,4
242,1,8467,2,0.5752779586960688,30,5
0,0,8476,1,0.5811693075724349,970,4
21,1,8488,2,0.6207035643270382,25,9
7233,1,8533,2,0.5318512130404077,12,7
0,0,8556,1,0.6095953379864282,970,6
1,1,8691,2,0.637011875794752,507,6
6311,1,8709,2,0.45192815386444457,14,2
0,0,8789,1,0.5912183535142926,970,3
1,1,8814,2,0.6424167211203042,507,8
242,1,8867,2,0.581187848910995,30,6
6073,1,8918,2,0.48849240199228894,16,5
0,0,8950,1,0.6189545669294242,970,9
7583,1,8952,2,0.47780415897459483,5,5
0,0,8991,1,0.621932511097793,970,7
6311,1,8997,2,0.4373176557236343,14,4
14,1,9126,2,0.5337813249285189,33,6
30,1,9156,2,0.47898731754152857,11,4
6510,1,9157,2,0.30756316926378696,5,2
8991,1,9210,2,0.4538322851533201,7,6
0,0,9226,1,0.6100958453445224,970,5
5831,1,9238,2,0.5469931012013466,13,7
7678,1,9271,2,0.4642744669298438,16,5
7945,1,9276,2,0.45589548079574227,10,6
204,1,9281,2,0.5143861556652064,17,9
1,1,9300,2,0.630677098310427,507,3
8950,1,9324,2,0.47418441064209416,9,4
9226,1,9355,2,0.45372555632231476,5,5
242,1,9370,2,0.5864780504264565,30,6
135,1,9383,2,0.5280429520117964,11,4
0,0,9410,1,0.598877403387414,970,4
8789,1,9419,2,0.34879573891039994,3,3
8950,1,9428,2,0.47026041490279025,9,5
458,1,9458,2,0.5530112603810377,15,7
204,1,9469,2,0.5651906719795821,17,5
6510,1,9516,2,0.32374436640170173,5,2
0,0,9544,1,0.6348511584035765,970,5
561,1,9546,2,0.5216351534770116,15,6
5384,1,9550,2,0.5265212671509404,7,7
0,0,9565,1,0.6207741895448029,970,5
8556,1,9583,2,0.47384270695163677,6,4
7594,1,9586,2,0.5297452470935261,8,8
6311,1,9594,2,0.371478877236905,14,4
7678,1,9600,2,0.4630556194057209,16,3
3811,1,9613,2,0.447540818693504,4,4
1,1,9627,2,0.6251039319119588,507,2
0,0,9639,1,0.6043237011813676,970,6
9639,1,9640,2,0.4438355782352431,6,3
8476,1,9657,2,0.39070065609723154,4,3
9410,1,9660,2,0.3772822941288067,4,4
6073,1,9672,2,0.5522748240707325,16,4
8476,1,9676,2,0.22632177468394915,4,1
6311,1,9679,2,0.39824265566082634,14,2
9565,1,9680,2,0.44855732571413903,5,4
7945,1,9683,2,0.3972659884478839,10,2
48,1,9686,2,0.5534802947014233,27,6
