layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.93769007247729
1,44,946,946,430.6668082522377,0.4552503258480314,970,5.051384234873296
2,147,10731,10731,5634.388118975857,0.5250571353066682,970,4.923615548820024
