layer,node_count,total_documents,avg_documents_per_node,weighted_avg_npmi,weighted_avg_c_v,weighted_avg_u_mass,simple_avg_npmi,simple_avg_c_v,simple_avg_u_mass,std_npmi,std_c_v,std_u_mass,top_k,eta,gamma,depth,alpha
0,1,970,970.0,0.02714082459492614,0.48195586138003377,-0.72723819802588,0.02714082459492614,0.48195586138003377,-0.72723819802588,,,,10,0.1,0.05,3,0.1
1,28,970,34.642857142857146,-0.043986716927505325,0.3941520762724499,-2.9653212369923754,-0.07289112582332614,0.38001171546315204,-4.03822161041938,0.14227678734407215,0.112598820915169,2.269976769390145,10,0.1,0.05,3,0.1
2,122,970,7.950819672131147,0.00383575188115695,0.4760731405179938,-3.1332598325928513,-0.037432600571913305,0.4632178562207472,-3.659936123183117,0.10940270971823861,0.16712634455373082,1.8454327898603766,10,0.1,0.05,3,0.1
