layer,node_count,total_documents,avg_documents_per_node,weighted_avg_npmi,weighted_avg_c_v,weighted_avg_u_mass,simple_avg_npmi,simple_avg_c_v,simple_avg_u_mass,std_npmi,std_c_v,std_u_mass,top_k,eta,gamma,depth,alpha
0,1,970,970.0,-0.0013048143255487954,0.49479502406138937,-0.5698949863141618,-0.0013048143255487954,0.49479502406138937,-0.5698949863141618,,,,5,0.2,0.05,3,0.1
1,28,970,34.642857142857146,-0.019099103310203074,0.49147480871593097,-2.1928118677783135,-0.00010232602874446991,0.5041221374794408,-3.3817813460336987,0.1787994765173488,0.1617073520145649,2.6584252885783277,5,0.2,0.05,3,0.1
2,122,970,7.950819672131147,0.07510765045756576,0.5906682275346581,-2.587435216425256,0.04404186431878365,0.5629984743070304,-3.221971052586291,0.1479618089829046,0.17261213233099296,2.171633120322104,5,0.2,0.05,3,0.1
