depth,gamma,eta,alpha,layer,entropy_wavg,distinctiveness_wavg_jsd,nodes_in_layer,run_folder
3,0.05,0.02,0.1,1,3.692960961535941,0.6603048559058441,72,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e002_基于e01_收敛/depth_3_gamma_0.05_eta_0.02_run_2
3,0.05,0.02,0.1,2,3.2458143842169305,0.6641878522063535,311,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e002_基于e01_收敛/depth_3_gamma_0.05_eta_0.02_run_2
3,0.05,0.02,0.1,0,5.210947874668272,0.0,1,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e002_基于e01_收敛/depth_3_gamma_0.05_eta_0.02_run_1
3,0.05,0.02,0.1,1,3.6437721685352384,0.6636518696499131,74,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e002_基于e01_收敛/depth_3_gamma_0.05_eta_0.02_run_1
3,0.05,0.02,0.1,2,3.235714407393598,0.6644883824061641,308,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e002_基于e01_收敛/depth_3_gamma_0.05_eta_0.02_run_1
3,0.05,0.2,0.1,0,4.875669800522852,0.0,1,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_1
3,0.05,0.2,0.1,1,4.585576231982047,0.5988498359607733,28,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_1
3,0.05,0.2,0.1,2,4.276400594350014,0.6060415162293956,122,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_1
3,0.05,0.2,0.1,0,4.857086360006633,0.0,1,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_3
3,0.05,0.2,0.1,1,4.490247769948287,0.5955602855354388,29,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_3
3,0.05,0.2,0.1,2,4.234530285714666,0.6140058510970199,127,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_3
3,0.05,0.2,0.1,0,4.842830765137571,0.0,1,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_2
3,0.05,0.2,0.1,1,4.578545450077511,0.5818134426777728,31,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_2
3,0.05,0.2,0.1,2,4.261802069494856,0.6092921527883642,125,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e02_收敛/depth_3_gamma_0.05_eta_0.2_run_2
3,0.05,0.01,0.1,0,5.31209320266481,0.0,1,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_2
3,0.05,0.01,0.1,1,3.440594635319993,0.6686042819295187,76,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_2
3,0.05,0.01,0.1,2,2.996956966967204,0.6672772995739068,326,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_2
3,0.05,0.01,0.1,0,5.319668941019092,0.0,1,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_1
3,0.05,0.01,0.1,1,3.3907393664285754,0.6644424364796727,80,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_1
3,0.05,0.01,0.1,2,2.8823082763637813,0.6733756372563368,344,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_1
3,0.05,0.01,0.1,0,5.280250967542332,0.0,1,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_3
3,0.05,0.01,0.1,1,3.3645280125425927,0.6576996958480963,81,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_3
3,0.05,0.01,0.1,2,2.856299599563856,0.6766429328674691,351,/Volumes/My Passport/收敛结果/step2/step2_d3_g005_e001_基于e01_收敛/depth_3_gamma_0.05_eta_0.01_run_3
