gamma,experiment_type,layer,avg_js_distance_mean,avg_js_distance_std,run_count,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,entropy_run_count,avg_node_count,node_count_std,avg_total_documents,included_runs
0.05,single,0.0,0.0,0.0,3,7.0976,0.0316,3,1.0,0.0,970.0,"1, 2, 3"
0.05,single,1.0,0.4579,0.0178,3,7.5118,0.1778,3,41.6667,2.0817,970.0,"1, 2, 3"
0.05,single,2.0,0.4982,0.0058,3,7.2767,0.0231,3,174.3333,11.0604,970.0,"1, 2, 3"
