eta,top_k,layer,simple_avg_npmi_mean,simple_avg_npmi_std,simple_avg_c_v_mean,simple_avg_c_v_std,simple_avg_u_mass_mean,simple_avg_u_mass_std,node_count_mean,node_count_std,run_id_count
0.2,5,0.0,0.0088,0.0088,0.4888,0.0052,-0.5856,0.0136,1.0,0.0,3
0.2,5,1.0,0.021,0.019,0.5177,0.0119,-3.403,0.2564,29.3333,1.5275,3
0.2,5,2.0,0.0417,0.0022,0.5728,0.0085,-3.2173,0.0318,124.6667,2.5166,3
