alpha,parent_layer,child_layer,simple_avg_js_distance_mean,simple_avg_js_distance_std,simple_avg_js_distance_count,std_js_distance_mean,median_js_distance_mean,min_js_distance_min,max_js_distance_max,pair_count_mean,eta_used_first,run_id_<lambda>
0.5,0.0,1.0,0.6455,0.0072,3,0.0303,0.6486,0.4879,0.7257,45.3333,0.05,"1, 2, 3"
0.5,1.0,2.0,0.6251,0.0116,3,0.0783,0.6456,0.2512,0.7401,242.3333,0.05,"1, 2, 3"
