alpha,parent_layer,child_layer,avg_js_distance_mean,avg_js_distance_std,avg_js_distance_count,weighted_avg_js_distance_mean,weighted_avg_js_distance_std,pair_count_mean,eta_used_first,run_id_<lambda>
0.5,0.0,1.0,0.6455,0.0072,3,0.5797,0.028,45.3333,0.05,"1, 2, 3"
0.5,1.0,2.0,0.6251,0.0116,3,0.6591,0.0073,242.3333,0.05,"1, 2, 3"
