alpha,parent_layer,child_layer,avg_js_distance_mean,avg_js_distance_std,avg_js_distance_count,weighted_avg_js_distance_mean,weighted_avg_js_distance_std,pair_count_mean,eta_used_first,run_id_<lambda>
0.05,0.0,1.0,0.6303,0.0032,3,0.5778,0.0421,60.6667,0.05,"1, 2, 3"
0.05,1.0,2.0,0.5758,0.0101,3,0.6181,0.0062,237.0,0.05,"1, 2, 3"
