layer,node_count,total_documents,avg_documents_per_node,weighted_avg_npmi,weighted_avg_c_v,weighted_avg_u_mass,simple_avg_npmi,simple_avg_c_v,simple_avg_u_mass,std_npmi,std_c_v,std_u_mass,top_k,alpha,eta,gamma,depth
0,1,970,970.0,0.005133950278135126,0.5174253898850809,-0.57009880163444,0.005133950278135126,0.5174253898850809,-0.57009880163444,,,,5,0.2,0.05,0.05,3
1,71,970,13.661971830985916,0.08633449070059851,0.5721609736181856,-1.9300658697405044,0.07649912492555679,0.5313751125664281,-2.7623763276513893,0.12315153975815288,0.11412237946438539,1.3867785821151997,5,0.2,0.05,0.05,3
2,261,970,3.7164750957854404,0.052110204301103434,0.5511476412959566,-2.9342344667979092,0.04285632132342057,0.5530139895781505,-2.887295857946454,0.1454495092333575,0.15075310038433962,2.0766170576517435,5,0.2,0.05,0.05,3
