parent_layer,child_layer,pair_count,avg_js_distance,std_js_distance,child_weighted_avg_js_distance,total_parent_docs,total_child_docs,alpha,eta_used
0,1,71,0.6521521472635947,0.024850751455676372,0.59845864305519,68870,970,0.2,0.05
1,2,261,0.6001516287252971,0.07276176248634389,0.6297175404359846,26411,970,0.2,0.05
