layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,4.96195942773474,0.05,0.2
1,71,2485,2485,1446.221739363919,0.581980579220893,970,4.58267655110892,0.05,0.2
2,261,33930,33930,19099.23754461853,0.5629011949489693,970,4.534547610936005,0.05,0.2
