parent_id,parent_layer,child_id,child_layer,js_distance,parent_doc_count,child_doc_count
0,0,1,1,0.49799443662867904,970,486
1,1,2,2,0.6578350906831334,486,216
0,0,5,1,0.6345581864907954,970,11
0,0,14,1,0.6534000028282592,970,19
0,0,16,1,0.6293016330516835,970,12
0,0,18,1,0.6119085945235275,970,8
0,0,30,1,0.6311077996671443,970,18
0,0,35,1,0.6233365124310523,970,10
0,0,37,1,0.6274580098504464,970,26
37,1,41,2,0.6007081932415452,26,17
1,1,43,2,0.6289291699562656,486,9
0,0,50,1,0.6319267053662035,970,19
18,1,62,2,0.45389463116747786,8,3
0,0,64,1,0.6445113392664565,970,16
64,1,65,2,0.5461660495146405,16,6
0,0,68,1,0.615795103281976,970,13
30,1,83,2,0.5997746212497086,18,10
1,1,87,2,0.6412452402107209,486,14
0,0,93,1,0.6627847343315869,970,26
0,0,103,1,0.6385415573977448,970,24
37,1,112,2,0.5691796564706478,26,8
0,0,113,1,0.6143496855573287,970,11
0,0,115,1,0.6225819288046711,970,17
0,0,125,1,0.625729576211889,970,9
0,0,130,1,0.6605731221923891,970,20
130,1,131,2,0.5740152696968872,20,10
0,0,209,1,0.6233977274282875,970,8
1,1,224,2,0.5938505154817071,486,11
1,1,316,2,0.6170859609336474,486,4
68,1,331,2,0.5174187158012924,13,8
1,1,343,2,0.6224121757889797,486,14
0,0,348,1,0.641631642463982,970,17
35,1,368,2,0.4786324369675248,10,4
0,0,395,1,0.6222073648900838,970,22
1,1,486,2,0.6418092614334867,486,17
1,1,495,2,0.6004916548628471,486,6
0,0,503,1,0.6248328919182863,970,8
1,1,554,2,0.6496071575014047,486,19
16,1,598,2,0.5523015156411477,12,9
395,1,616,2,0.549597285452143,22,11
1,1,619,2,0.6220646757948137,486,13
348,1,754,2,0.5827744244232108,17,17
395,1,757,2,0.5277867942659438,22,5
0,0,759,1,0.6157490609215328,970,14
503,1,778,2,0.4683978419154083,8,4
0,0,837,1,0.6321220874579258,970,8
1,1,862,2,0.6036854387485506,486,6
1,1,1241,2,0.624875054091341,486,8
103,1,1296,2,0.5611038776711407,24,15
125,1,1345,2,0.5304206924176802,9,9
0,0,1366,1,0.6248578471431261,970,11
1,1,1531,2,0.6244590524367801,486,10
50,1,1757,2,0.5580825053628626,19,7
0,0,1758,1,0.6309704805554537,970,10
0,0,1766,1,0.6224808698087513,970,7
1,1,1772,2,0.6549313894478758,486,11
1,1,1775,2,0.6237993575518149,486,6
759,1,1778,2,0.5357520502944729,14,7
0,0,1891,1,0.6211948222421861,970,11
113,1,1919,2,0.5532864224655365,11,11
0,0,1967,1,0.6108762044800525,970,8
1891,1,1973,2,0.517599698940354,11,8
0,0,1988,1,0.6210260420512737,970,5
0,0,2087,1,0.6201392402843755,970,12
0,0,2149,1,0.6179678170770974,970,10
0,0,2197,1,0.6207435198338733,970,13
1,1,2346,2,0.6340670569462877,486,13
0,0,2421,1,0.6417337033120093,970,19
395,1,2434,2,0.4995544013670328,22,5
16,1,2440,2,0.40303905715730703,12,3
1,1,2452,2,0.6238446528158524,486,11
64,1,2454,2,0.5548046197751143,16,5
1,1,2479,2,0.6204793701195135,486,5
2149,1,2496,2,0.4686463347657131,10,6
1,1,2708,2,0.5916835356148066,486,10
103,1,2835,2,0.5316744874859304,24,2
1,1,2838,2,0.6219427802183548,486,8
1,1,3107,2,0.6348292182571312,486,13
115,1,3121,2,0.5477911645206378,17,8
130,1,3130,2,0.5767864844956523,20,7
1366,1,3195,2,0.4491916369838108,11,4
1,1,3251,2,0.6197369894452365,486,8
837,1,3305,2,0.48426219046824287,8,6
1,1,3358,2,0.6246582699955782,486,4
30,1,3389,2,0.5382598866819314,18,3
2421,1,3440,2,0.5804217080721199,19,7
1,1,3445,2,0.6176690425410428,486,8
0,0,3455,1,0.6316975838084313,970,7
93,1,3467,2,0.5881272461943504,26,4
1,1,3485,2,0.6046366210263444,486,4
5,1,3489,2,0.5663577947085854,11,9
50,1,3493,2,0.5657411316974068,19,4
0,0,3505,1,0.6004463687758328,970,5
130,1,3508,2,0.5566426776598793,20,3
14,1,3515,2,0.5540607389118736,19,3
1758,1,3520,2,0.509433793190002,10,4
0,0,3526,1,0.5851670230562229,970,10
3526,1,3527,2,0.4839216861286724,10,6
2421,1,3539,2,0.5517638536054356,19,5
93,1,3572,2,0.5990333653094915,26,16
3455,1,3579,2,0.4617522263186274,7,2
1988,1,3587,2,0.4759381078459855,5,5
1,1,3615,2,0.6151180261067802,486,2
2149,1,3638,2,0.45494073098792004,10,4
1,1,3669,2,0.6090901850486057,486,5
1891,1,3723,2,0.47121900030543645,11,3
14,1,3726,2,0.5793800804166274,19,8
0,0,3728,1,0.6225842931056554,970,5
14,1,3735,2,0.4832871368298429,19,3
2197,1,3746,2,0.5291813006009559,13,6
1,1,3761,2,0.607738647505069,486,6
2087,1,3768,2,0.5184142975680499,12,2
1,1,3769,2,0.623682465241781,486,5
1,1,3784,2,0.6051892898103347,486,5
68,1,3785,2,0.47708633949036666,13,5
64,1,3794,2,0.5471129810486162,16,4
3505,1,3800,2,0.36423272638851417,5,3
1,1,3806,2,0.6460059089372598,486,6
30,1,3812,2,0.491194863890615,18,1
209,1,3821,2,0.40027394196232785,8,2
2197,1,3827,2,0.5279990861777698,13,6
0,0,3828,1,0.6105099536776607,970,9
1766,1,3841,2,0.4416764811699698,7,2
1766,1,3846,2,0.4590548579049555,7,5
2087,1,3853,2,0.5394660455034684,12,5
1967,1,3862,2,0.3921426792012286,8,1
50,1,3869,2,0.5036140438438097,19,4
103,1,3878,2,0.5566826121165973,24,5
3526,1,3882,2,0.4114464569883374,10,2
1,1,3884,2,0.6105669120735625,486,6
0,0,3889,1,0.5847623696325172,970,4
759,1,3898,2,0.4782577717311538,14,3
3889,1,3899,2,0.31621535599477285,4,2
3505,1,3900,2,0.37074471733470277,5,2
3728,1,3917,2,0.4285268836200361,5,3
1967,1,3932,2,0.35861678139959813,8,2
1366,1,3934,2,0.5194718897750767,11,7
2087,1,3937,2,0.5022842987580777,12,4
3828,1,3939,2,0.4090942868977267,9,4
18,1,3940,2,0.42728265282628586,8,3
1758,1,3941,2,0.49608912960790963,10,5
93,1,3942,2,0.5866427525929176,26,4
30,1,3946,2,0.5175168168347585,18,4
395,1,3950,2,0.40331926937378443,22,1
64,1,3953,2,0.4899791794072066,16,1
3828,1,3958,2,0.4670752082206602,9,3
18,1,3960,2,0.42975856296293935,8,2
0,0,3962,1,0.6131673827665962,970,2
35,1,3971,2,0.3630795314151736,10,2
837,1,3973,2,0.3545811312915262,8,1
14,1,3974,2,0.49109034174446903,19,2
2421,1,3978,2,0.5165717822416562,19,4
115,1,3979,2,0.4631395405680995,17,4
3728,1,3982,2,0.43220551498885723,5,2
3962,1,3984,2,0.3430403987278356,2,2
3889,1,3987,2,0.36612311472599907,4,2
3455,1,3988,2,0.4594619141645873,7,5
1967,1,3989,2,0.45534714325808007,8,3
115,1,3991,2,0.4677996311331346,17,2
115,1,3993,2,0.48648352748565155,17,3
5,1,3994,2,0.530281988444706,11,2
50,1,3995,2,0.5381921140381586,19,4
2197,1,3997,2,0.439289702445105,13,1
209,1,3998,2,0.4486406152295138,8,4
3526,1,4000,2,0.24277985394828686,10,2
1967,1,4001,2,0.3773619871681504,8,2
