gamma,experiment_type,layer,avg_js_distance_mean,avg_js_distance_std,run_count,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,entropy_run_count,avg_node_count,node_count_std,avg_total_documents,included_runs
0.005,single,0.0,0.0,0.0,3,4.9424,0.0206,3,1.0,0.0,970.0,"1, 2, 3"
0.005,single,1.0,0.4915,0.0111,3,5.1457,0.0513,3,44.0,3.4641,970.0,"1, 2, 3"
0.005,single,2.0,0.4944,0.0076,3,5.1035,0.0213,3,153.3333,12.0968,970.0,"1, 2, 3"
