layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution
0,1,74,74.0,0.0,1,74.0,970,0.0,0.0
1,74,308,4.162162162162162,7.130116990486745,74,4.162162162162162,970,0.5689607132906102,0.4226044226044226
2,308,0,0.0,0.0,0,0.0,970,0.42472218503146336,0.0
