document_id,convergence_status
679,convergent
678,convergent
675,convergent
673,convergent
671,convergent
670,convergent
669,convergent
724,convergent
723,convergent
722,convergent
720,convergent
719,convergent
718,convergent
699,convergent
711,convergent
709,convergent
707,convergent
701,convergent
700,convergent
668,convergent
725,convergent
666,convergent
635,convergent
633,convergent
632,convergent
631,convergent
628,convergent
626,convergent
625,convergent
624,convergent
622,convergent
621,convergent
620,convergent
619,convergent
615,convergent
613,convergent
612,convergent
611,convergent
636,convergent
609,convergent
638,convergent
652,convergent
665,convergent
664,convergent
663,convergent
662,convergent
661,convergent
660,convergent
657,convergent
656,convergent
655,convergent
654,convergent
658,convergent
651,convergent
644,convergent
640,convergent
643,convergent
639,convergent
331,non_convergent
329,non_convergent
325,non_convergent
324,non_convergent
322,non_convergent
321,non_convergent
318,non_convergent
317,non_convergent
316,non_convergent
314,non_convergent
312,non_convergent
311,non_convergent
309,non_convergent
332,non_convergent
359,non_convergent
357,non_convergent
356,non_convergent
355,non_convergent
353,non_convergent
335,non_convergent
345,non_convergent
344,non_convergent
343,non_convergent
338,non_convergent
336,non_convergent
302,non_convergent
270,non_convergent
268,non_convergent
266,non_convergent
265,non_convergent
263,non_convergent
261,non_convergent
260,non_convergent
259,non_convergent
257,non_convergent
255,non_convergent
253,non_convergent
251,non_convergent
249,non_convergent
247,non_convergent
244,non_convergent
271,non_convergent
273,non_convergent
299,non_convergent
298,non_convergent
297,non_convergent
296,non_convergent
293,non_convergent
285,non_convergent
284,non_convergent
283,non_convergent
280,non_convergent
279,non_convergent
277,non_convergent
452,non_convergent
451,non_convergent
450,non_convergent
449,non_convergent
448,non_convergent
447,non_convergent
446,non_convergent
438,non_convergent
435,non_convergent
434,non_convergent
431,non_convergent
428,non_convergent
426,non_convergent
482,non_convergent
481,non_convergent
480,non_convergent
478,non_convergent
476,non_convergent
475,non_convergent
474,non_convergent
473,non_convergent
472,non_convergent
468,non_convergent
466,non_convergent
460,non_convergent
459,non_convergent
379,non_convergent
391,non_convergent
386,non_convergent
384,non_convergent
378,non_convergent
393,non_convergent
368,non_convergent
392,non_convergent
419,non_convergent
415,non_convergent
410,non_convergent
408,non_convergent
405,non_convergent
400,non_convergent
398,non_convergent
396,non_convergent
59,non_convergent
85,non_convergent
81,non_convergent
80,non_convergent
79,non_convergent
76,non_convergent
75,non_convergent
74,non_convergent
73,non_convergent
72,non_convergent
69,non_convergent
68,non_convergent
117,non_convergent
115,non_convergent
114,non_convergent
110,non_convergent
109,non_convergent
108,non_convergent
91,non_convergent
103,non_convergent
102,non_convergent
100,non_convergent
99,non_convergent
96,non_convergent
94,non_convergent
93,non_convergent
58,non_convergent
25,non_convergent
22,non_convergent
20,non_convergent
18,non_convergent
17,non_convergent
16,non_convergent
13,non_convergent
11,non_convergent
10,non_convergent
9,non_convergent
8,non_convergent
4,non_convergent
2,non_convergent
27,non_convergent
54,non_convergent
53,non_convergent
45,non_convergent
40,non_convergent
38,non_convergent
35,non_convergent
118,non_convergent
119,non_convergent
121,non_convergent
206,non_convergent
204,non_convergent
200,non_convergent
198,non_convergent
195,non_convergent
193,non_convergent
192,non_convergent
187,non_convergent
185,non_convergent
182,non_convergent
210,non_convergent
236,non_convergent
235,non_convergent
234,non_convergent
232,non_convergent
231,non_convergent
230,non_convergent
212,non_convergent
223,non_convergent
220,non_convergent
216,non_convergent
214,non_convergent
213,non_convergent
179,non_convergent
135,non_convergent
140,non_convergent
137,non_convergent
136,non_convergent
134,non_convergent
131,non_convergent
129,non_convergent
128,non_convergent
125,non_convergent
122,non_convergent
148,non_convergent
177,non_convergent
176,non_convergent
175,non_convergent
173,non_convergent
169,non_convergent
168,non_convergent
164,non_convergent
163,non_convergent
162,non_convergent
155,non_convergent
154,non_convergent
152,non_convergent
485,non_convergent
788,non_convergent
815,non_convergent
814,non_convergent
811,non_convergent
810,non_convergent
807,non_convergent
805,non_convergent
804,non_convergent
803,non_convergent
802,non_convergent
801,non_convergent
799,non_convergent
798,non_convergent
795,non_convergent
793,non_convergent
817,non_convergent
819,non_convergent
834,non_convergent
841,non_convergent
838,non_convergent
836,non_convergent
820,non_convergent
832,non_convergent
827,non_convergent
826,non_convergent
824,non_convergent
823,non_convergent
789,non_convergent
787,non_convergent
755,non_convergent
753,non_convergent
748,non_convergent
747,non_convergent
746,non_convergent
745,non_convergent
744,non_convergent
743,non_convergent
737,non_convergent
736,non_convergent
734,non_convergent
731,non_convergent
730,non_convergent
756,non_convergent
758,non_convergent
773,non_convergent
776,non_convergent
759,non_convergent
771,non_convergent
768,non_convergent
765,non_convergent
762,non_convergent
849,non_convergent
938,non_convergent
936,non_convergent
933,non_convergent
930,non_convergent
929,non_convergent
927,non_convergent
926,non_convergent
925,non_convergent
924,non_convergent
923,non_convergent
921,non_convergent
920,non_convergent
917,non_convergent
914,non_convergent
913,non_convergent
939,non_convergent
941,non_convergent
967,non_convergent
966,non_convergent
965,non_convergent
942,non_convergent
952,non_convergent
946,non_convergent
945,non_convergent
877,non_convergent
869,non_convergent
867,non_convergent
865,non_convergent
862,non_convergent
858,non_convergent
878,non_convergent
879,non_convergent
906,non_convergent
898,non_convergent
893,non_convergent
886,non_convergent
882,non_convergent
968,non_convergent
574,non_convergent
570,non_convergent
568,non_convergent
566,non_convergent
565,non_convergent
564,non_convergent
559,non_convergent
558,non_convergent
556,non_convergent
553,non_convergent
551,non_convergent
550,non_convergent
549,non_convergent
577,non_convergent
604,non_convergent
600,non_convergent
599,non_convergent
597,non_convergent
590,non_convergent
585,non_convergent
583,non_convergent
582,non_convergent
581,non_convergent
580,non_convergent
546,non_convergent
512,non_convergent
510,non_convergent
509,non_convergent
507,non_convergent
506,non_convergent
499,non_convergent
514,non_convergent
498,non_convergent
497,non_convergent
496,non_convergent
489,non_convergent
488,non_convergent
540,non_convergent
539,non_convergent
538,non_convergent
537,non_convergent
536,non_convergent
533,non_convergent
529,non_convergent
516,non_convergent
528,non_convergent
522,non_convergent
518,non_convergent
517,non_convergent
695,non_convergent
692,non_convergent
688,non_convergent
686,non_convergent
682,non_convergent
677,non_convergent
676,non_convergent
674,non_convergent
672,non_convergent
696,non_convergent
697,non_convergent
698,non_convergent
713,non_convergent
608,non_convergent
721,non_convergent
717,non_convergent
716,non_convergent
715,non_convergent
714,non_convergent
712,non_convergent
710,non_convergent
708,non_convergent
706,non_convergent
705,non_convergent
704,non_convergent
703,non_convergent
702,non_convergent
623,non_convergent
634,non_convergent
630,non_convergent
629,non_convergent
627,non_convergent
637,non_convergent
618,non_convergent
617,non_convergent
616,non_convergent
614,non_convergent
610,non_convergent
659,non_convergent
653,non_convergent
650,non_convergent
641,non_convergent
642,non_convergent
645,non_convergent
647,non_convergent
648,non_convergent
649,non_convergent
646,non_convergent
