rhat_len_docs,mean_jaccard,mean_ratio,rhat_threshold,converged,iteration,timestamp
3.362510784615144,"[0.9246941848176183, 0.9087388283493942, 0.8968704938034682]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,55,1754932961.1643202
2.0760727912213675,"[0.9308801500259042, 0.9082210151167447, 0.917057000114992]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,75,1754933773.9878192
1.6917375971973303,"[0.9220454262436801, 0.9106304303390385, 0.9131673029604658]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,95,1754934606.8206913
1.5808684746376949,"[0.9271206812805863, 0.9173037607531744, 0.926461818193235]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,115,1754935454.7762418
1.4424230315916315,"[0.9260267075354648, 0.9211741035061796, 0.9249696404972294]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,135,1754936322.7582211
1.0103052552375593,"[0.9256822558790511, 0.9220472823045769, 0.9278806789348778]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,True,155,1754937210.668365
