depth,gamma,eta,alpha,layer,entropy_wavg,distinctiveness_wavg_jsd,nodes_in_layer
3,0.05,0.01,0.1,0,5.319668941019092,0.0,1
3,0.05,0.01,0.1,1,3.3907393664285754,0.6644424364796727,80
3,0.05,0.01,0.1,2,2.8823082763637813,0.6733756372563368,344
