layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,5.320179117876582,0.01
1,80,3160,3160,2221.3079717661108,0.7029455606854781,970,3.736358756840928,0.01
2,344,58996,58996,41695.732885571095,0.7067552526539272,970,3.3288610090218427,0.01
