eta,index,t_o_t_a_l___n_o_d_e_s,t_o_t_a_l___l_a_y_e_r_s,t_o_t_a_l___b_r_a_n_c_h_e_s,g_l_o_b_a_l___a_v_g___b_r_a_n_c_h_i_n_g,g_l_o_b_a_l___s_t_d___b_r_a_n_c_h_i_n_g,g_l_o_b_a_l___m_a_x___b_r_a_n_c_h_i_n_g,g_l_o_b_a_l___t_o_t_a_l___d_o_c_u_m_e_n_t_s,g_l_o_b_a_l___g_i_n_i___d_o_c___d_i_s_t_r_i_b_u_t_i_o_n,g_l_o_b_a_l___g_i_n_i___b_r_a_n_c_h___d_i_s_t_r_i_b_u_t_i_o_n,r_u_n___i_d
0.01,mean,420.3333,3.0,419.3333,5.2412,11.3484,79.0,2910.0,0.7069,0.5112,
0.01,std,15.5349,0.0,15.5349,0.0244,1.0125,2.6458,0.0,0.0073,0.0331,
0.01,count,,,,,,,,,,3.0
