layer,node_count,total_documents,avg_documents_per_node,weighted_avg_npmi,weighted_avg_c_v,weighted_avg_u_mass,simple_avg_npmi,simple_avg_c_v,simple_avg_u_mass,std_npmi,std_c_v,std_u_mass,top_k,alpha,eta,gamma,depth
0,1,970,970.0,0.013885924146951546,0.48573015805465863,-0.5916976867410396,0.013885924146951546,0.48573015805465863,-0.5916976867410396,,,,5,0.5,0.05,0.05,3
1,55,970,17.636363636363637,0.016653219908058094,0.5635996886734281,-2.031109499938043,0.06823882074293582,0.5406640277889502,-2.7844447290407457,0.13548435976568463,0.15229354079959498,1.7870772541184459,5,0.5,0.05,0.05,3
2,236,970,4.110169491525424,0.06773362343895004,0.5526450390539289,-2.65730597377102,0.05099474281098811,0.5504365483259595,-2.8118018829947484,0.14917986393942173,0.15395896020832373,1.6387402843647,5,0.5,0.05,0.05,3
