depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.02,0.1,2,19600,,3.4287936139631494,3,172,65,
3,0.05,0.02,0.1,2,18907,,2.8321808194420273,2,102,44,
3,0.05,0.02,0.1,2,17805,,3.2063149974332705,3,161,59,
3,0.05,0.02,0.1,2,2,,3.554218305333351,17,471,503,
3,0.05,0.02,0.1,2,20197,,2.560204390077312,1,70,58,
3,0.05,0.02,0.1,2,18059,,3.1956516987409938,2,102,53,
3,0.05,0.02,0.1,2,20149,,2.977739196844336,1,91,53,
3,0.05,0.02,0.1,2,50,,3.7780507928714253,7,252,315,
3,0.05,0.02,0.1,2,3,,4.862312580184461,84,1016,2192,
3,0.05,0.02,0.1,2,20198,,3.194484371744041,1,60,45,
3,0.05,0.02,0.1,2,20162,,2.605294531928977,1,49,31,
3,0.05,0.02,0.1,2,14175,,2.8834513150515906,2,119,72,
3,0.05,0.02,0.1,2,232,,3.7183830432861096,8,274,217,
3,0.05,0.02,0.1,2,20199,,3.261435439286996,2,153,60,
3,0.05,0.02,0.1,2,76,,3.429724320587392,8,277,159,
3,0.05,0.02,0.1,2,552,,3.504587453332683,8,267,195,
3,0.05,0.02,0.1,2,20147,,2.693344053712514,1,83,45,
3,0.05,0.02,0.1,2,3143,,2.9072797145458655,2,74,43,
3,0.05,0.02,0.1,2,18177,,3.0229629215514455,4,195,131,
3,0.05,0.02,0.1,2,14634,,2.7421912450554102,3,172,72,
3,0.05,0.02,0.1,2,20200,,2.6213818184565367,1,61,27,
3,0.05,0.02,0.1,2,20086,,2.2991308581259586,2,112,17,
3,0.05,0.02,0.1,2,20201,,2.947689252883742,1,61,43,
3,0.05,0.02,0.1,2,5326,,3.3758795736778655,4,157,78,
3,0.05,0.02,0.1,2,18990,,2.9185426348628605,2,117,36,
3,0.05,0.02,0.1,2,168,,3.1766343836937185,15,467,352,
3,0.05,0.02,0.1,2,15872,,3.0268228606240224,6,189,56,
3,0.05,0.02,0.1,2,183,,3.261189715076985,9,286,262,
3,0.05,0.02,0.1,2,622,,3.275256158304308,3,137,92,
3,0.05,0.02,0.1,2,19214,,2.8463714286337285,2,107,51,
3,0.05,0.02,0.1,2,148,,3.3524072174927233,7,277,140,
3,0.05,0.02,0.1,2,19533,,2.2728545588357023,2,98,31,
3,0.05,0.02,0.1,2,7751,,3.474085097410647,7,255,126,
3,0.05,0.02,0.1,2,20202,,2.143157356065944,1,60,18,
3,0.05,0.02,0.1,2,19946,,1.9528546214081244,2,73,17,
3,0.05,0.02,0.1,2,20007,,2.6754249737861335,2,103,28,
3,0.05,0.02,0.1,2,19571,,3.6391011475716097,5,215,136,
3,0.05,0.02,0.1,2,174,,3.103011477153636,4,133,82,
3,0.05,0.02,0.1,2,10430,,3.2087664170354753,6,210,92,
3,0.05,0.02,0.1,2,16920,,2.550631581851453,4,219,79,
3,0.05,0.02,0.1,2,19829,,3.3389180701305348,4,179,89,
3,0.05,0.02,0.1,2,19692,,3.019448800171307,3,125,64,
3,0.05,0.02,0.1,2,20072,,2.9884539422475007,3,142,51,
3,0.05,0.02,0.1,2,17129,,2.974490991929151,4,175,101,
3,0.05,0.02,0.1,2,19735,,2.9347190627331137,2,113,59,
3,0.05,0.02,0.1,2,19024,,3.4423623705263666,4,166,135,
3,0.05,0.02,0.1,2,20192,,2.9444389791664403,1,66,38,
3,0.05,0.02,0.1,2,15741,,2.8710287950530335,3,145,64,
3,0.05,0.02,0.1,2,14440,,2.914135848070291,5,199,116,
3,0.05,0.02,0.1,2,662,,2.43677416403754,5,206,117,
3,0.05,0.02,0.1,2,17230,,2.7932080094425156,5,213,84,
3,0.05,0.02,0.1,2,20204,,2.5102244577722903,1,64,40,
3,0.05,0.02,0.1,2,20205,,3.2054528045360593,1,83,74,
3,0.05,0.02,0.1,2,4939,,3.051054139586637,5,182,96,
3,0.05,0.02,0.1,2,20206,,2.9311937524164198,1,51,30,
3,0.05,0.02,0.1,2,19416,,2.806631029774657,4,177,70,
3,0.05,0.02,0.1,2,20031,,2.587604048026343,2,96,50,
3,0.05,0.02,0.1,2,20207,,2.7897483425226084,1,82,46,
3,0.05,0.02,0.1,2,20208,,2.299130858125958,1,40,17,
3,0.05,0.02,0.1,2,20209,,2.4807998678353465,3,93,54,
3,0.05,0.02,0.1,2,20210,,2.367123614131617,1,58,32,
3,0.05,0.02,0.1,2,75,,3.556139827168149,5,225,133,
3,0.05,0.02,0.1,2,206,,3.670009315485313,6,234,271,
3,0.05,0.02,0.1,2,16884,,2.46510402249182,2,111,20,
3,0.05,0.02,0.1,2,20211,,2.0794415416798357,1,36,16,
3,0.05,0.02,0.1,2,19892,,2.931366897599088,2,108,76,
3,0.05,0.02,0.1,2,660,,3.447836381174873,11,332,205,
3,0.05,0.02,0.1,2,4306,,3.230023647434758,4,175,63,
3,0.05,0.02,0.1,2,17207,,3.0196904620222407,7,222,175,
3,0.05,0.02,0.1,2,19825,,3.2113539353680576,8,220,99,
3,0.05,0.02,0.1,2,14487,,3.3900240810640305,5,182,89,
3,0.05,0.02,0.1,2,14342,,2.8554844988957235,3,125,78,
3,0.05,0.02,0.1,2,20117,,2.9499638550984106,2,100,33,
3,0.05,0.02,0.1,2,20156,,2.817534433943898,2,88,45,
3,0.05,0.02,0.1,2,18459,,3.405438932836473,2,98,67,
3,0.05,0.02,0.1,2,19810,,2.4604156297797037,1,80,33,
3,0.05,0.02,0.1,2,2838,,2.9996461728751274,3,159,64,
3,0.05,0.02,0.1,2,20212,,2.788322503541995,2,88,33,
3,0.05,0.02,0.1,2,18822,,3.5539505186077833,4,218,131,
3,0.05,0.02,0.1,2,9687,,2.8464693206624565,4,181,122,
3,0.05,0.02,0.1,2,20213,,2.8161693391991167,2,117,55,
3,0.05,0.02,0.1,2,19930,,3.047025567941541,3,126,40,
3,0.05,0.02,0.1,2,20214,,3.0952134708756542,2,124,62,
3,0.05,0.02,0.1,2,20107,,2.5828870581482035,1,53,45,
3,0.05,0.02,0.1,2,39,,2.9217111420201523,13,394,233,
3,0.05,0.02,0.1,2,9905,,3.3010155414827795,8,259,132,
3,0.05,0.02,0.1,2,20215,,2.7603186296479665,2,95,36,
3,0.05,0.02,0.1,2,19106,,3.310343241466309,3,172,155,
3,0.05,0.02,0.1,2,20216,,2.5372746353053164,1,49,28,
3,0.05,0.02,0.1,2,20080,,2.438890412501294,1,82,38,
3,0.05,0.02,0.1,2,19743,,2.858933065970198,3,140,71,
3,0.05,0.02,0.1,2,20070,,2.013614424437904,4,161,71,
3,0.05,0.02,0.1,2,16318,,3.4480374485079723,4,218,125,
3,0.05,0.02,0.1,2,20217,,2.809946075198364,1,94,47,
3,0.05,0.02,0.1,2,20060,,2.9272803812525345,1,92,43,
3,0.05,0.02,0.1,2,645,,3.6205472692568677,11,385,324,
