parent_layer,child_layer,avg_js_distance,js_distance_std,pair_count,total_parent_docs,total_child_docs
0,1,0.6157,0.0459,14,13580,970
1,2,0.4881,0.1593,61,20037,970
2,3,0.4937,0.1193,169,21854,970
