layer,node_count,total_documents,avg_documents_per_node,weighted_avg_npmi,weighted_avg_c_v,weighted_avg_u_mass,simple_avg_npmi,simple_avg_c_v,simple_avg_u_mass,std_npmi,std_c_v,std_u_mass,eta,gamma,depth,alpha
0,1,970,970.0,-0.0013048143255487954,0.49479502406138937,-0.5698949863141618,-0.0013048143255487954,0.49479502406138937,-0.5698949863141618,,,,0.1,0.05,3,0.1
1,44,970,22.045454545454547,-0.008298887208649335,0.5269425465211991,-1.7559309654363306,-0.004554140591266436,0.5522813235846477,-2.6343011071155815,0.14741902777374497,0.12962417482012725,1.750030590417479,0.1,0.05,3,0.1
2,186,970,5.21505376344086,0.07629514178548578,0.5771899002538491,-2.8968894526742908,0.05820321893602548,0.55705045300583,-3.088169106916164,0.14257833428813035,0.1594579705594113,2.083097918341058,0.1,0.05,3,0.1
