layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution
0,1,44,44.0,0.0,1,44.0,970,0.0,0.0
1,44,186,4.2272727272727275,6.5012713314873904,44,4.2272727272727275,970,0.6345360824742268,0.39149560117302057
2,186,0,0.0,0.0,0,0.0,970,0.48637623323356616,0.0
