layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.950196960584446
1,14,91,91,43.50027846695131,0.478025038098366,970,4.8989133001683305
2,66,2145,2145,900.2702100532148,0.41970639163320034,970,5.174118947814301
3,165,13530,13530,6409.8866435109,0.4737536321885366,970,5.107052962953589
