parent_layer,child_layer,avg_js_distance,js_distance_std,pair_count,total_parent_docs,total_child_docs
0,1,0.6099,0.0351,14,13580,970
1,2,0.5127,0.1429,66,15201,970
2,3,0.486,0.1067,165,7921,970
