layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.936427943123458
1,41,820,820,393.53664496243846,0.4799227377590713,970,5.29163904951456
2,136,9180,9180,4535.3096726458125,0.4940424480006332,970,5.236177927262059
