layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,5.025463126276941,0.05,0.01
1,65,2080,2080,1101.2127389074008,0.5294292013977888,970,4.9124004712617895,0.05,0.01
2,246,30135,30135,17043.560774053632,0.5655736112179736,970,4.651213781172942,0.05,0.01
