parent_layer,child_layer,pair_count,avg_js_distance,std_js_distance,child_weighted_avg_js_distance,total_parent_docs,total_child_docs,alpha,eta_used
0,1,65,0.6236168462297709,0.0318551285435168,0.5563711304622783,63050,970,0.01,0.05
1,2,246,0.5657328971367286,0.07247763146889072,0.6009496319412618,19483,970,0.01,0.05
