parent_layer,child_layer,pair_count,avg_js_distance,std_js_distance,child_weighted_avg_js_distance,total_parent_docs,total_child_docs,alpha,eta_used
0,1,66,0.6295732736842008,0.04032284369755137,0.5115662201581727,64020,970,0.01,0.05
1,2,229,0.578367269183556,0.06647394929709655,0.6117541601942401,26399,970,0.01,0.05
