layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,5.014692897803571,0.05,0.01
1,66,2145,2145,1181.6118156753316,0.550867979335819,970,4.815417087482195,0.05,0.01
2,229,26106,26106,14852.242506334365,0.5689206506678298,970,4.644943173362986,0.05,0.01
