layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.975883865744812
1,38,703,703,347.3132324075664,0.49404442732228504,970,4.993125276107861
2,139,9591,9591,4865.808093191784,0.5073306321751417,970,5.091997390582088
