layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution
0,1,29,29.0,0.0,1,29.0,970,0.0,0.0
1,29,127,4.379310344827586,5.320187921904239,29,4.379310344827586,970,0.6420191965872732,0.40727667662231876
2,127,0,0.0,0.0,0,0.0,970,0.5237600454582352,0.0
