gamma,experiment_type,run_id,parent_id,parent_layer,child_id,child_layer,layer_transition,js_distance,parent_doc_count,child_doc_count
0.005,single,1,2805.0,2.0,2850.0,3.0,2->3,0.4840792673664536,8.0,6.0
0.005,single,1,100.0,2.0,2932.0,3.0,2->3,0.5742746734118525,15.0,10.0
0.005,single,1,0.0,0.0,3028.0,1.0,0->1,0.6235208845767343,970.0,11.0
0.005,single,1,894.0,1.0,3124.0,2.0,1->2,0.4503002465762258,12.0,4.0
0.005,single,1,1339.0,2.0,3144.0,3.0,2->3,0.4722157709481088,8.0,6.0
0.005,single,1,317.0,1.0,3164.0,2.0,1->2,0.3512111100582596,15.0,5.0
0.005,single,1,1409.0,2.0,3209.0,3.0,2->3,0.5302289239032422,16.0,7.0
0.005,single,1,3124.0,2.0,3223.0,3.0,2->3,0.4190332790365041,4.0,4.0
0.005,single,1,3164.0,2.0,3242.0,3.0,2->3,0.4422867064995063,5.0,4.0
0.005,single,1,1.0,1.0,3300.0,2.0,1->2,0.5714206683981888,782.0,2.0
0.005,single,1,3028.0,1.0,3302.0,2.0,1->2,0.501612357066856,11.0,11.0
0.005,single,1,3302.0,2.0,3303.0,3.0,2->3,0.5519049973535894,11.0,7.0
0.005,single,1,3300.0,2.0,3322.0,3.0,2->3,0.1922892251658596,2.0,2.0
0.005,single,1,2.0,2.0,3362.0,3.0,2->3,0.6002499052539513,502.0,6.0
0.005,single,1,107.0,1.0,3367.0,2.0,1->2,0.2727533035304297,17.0,5.0
0.005,single,1,3367.0,2.0,3368.0,3.0,2->3,0.4019068860267452,5.0,4.0
0.005,single,1,2.0,2.0,3383.0,3.0,2->3,0.6325630572701826,502.0,11.0
0.005,single,1,317.0,1.0,3406.0,2.0,1->2,0.4638280308675262,15.0,5.0
0.005,single,1,0.0,0.0,3450.0,1.0,0->1,0.6075015179929054,970.0,6.0
0.005,single,1,3450.0,1.0,3451.0,2.0,1->2,0.3571537268846256,6.0,5.0
0.005,single,1,2464.0,2.0,3473.0,3.0,2->3,0.5275548407203011,11.0,6.0
0.005,single,1,2774.0,2.0,3479.0,3.0,2->3,0.4878315821559781,7.0,7.0
0.005,single,1,3451.0,2.0,3496.0,3.0,2->3,0.4253683781953902,5.0,3.0
0.005,single,1,0.0,0.0,3572.0,1.0,0->1,0.5929665117857545,970.0,5.0
0.005,single,1,2.0,2.0,3603.0,3.0,2->3,0.6045978415756667,502.0,9.0
0.005,single,1,2733.0,2.0,3732.0,3.0,2->3,0.4925813148407649,10.0,4.0
0.005,single,1,1.0,1.0,3740.0,2.0,1->2,0.5869636308552526,782.0,9.0
0.005,single,1,2086.0,1.0,3778.0,2.0,1->2,0.2885753638650336,21.0,2.0
0.005,single,1,100.0,2.0,3831.0,3.0,2->3,0.4674666023036607,15.0,5.0
0.005,single,1,3778.0,2.0,3858.0,3.0,2->3,0.3601625107748427,2.0,2.0
0.005,single,1,1.0,1.0,3874.0,2.0,1->2,0.6220416234444489,782.0,4.0
0.005,single,1,3874.0,2.0,3875.0,3.0,2->3,0.4557393785091009,4.0,2.0
0.005,single,1,3572.0,1.0,3905.0,2.0,1->2,0.1840042506532986,5.0,4.0
0.005,single,1,3905.0,2.0,3906.0,3.0,2->3,0.390457720468829,4.0,4.0
0.005,single,1,104.0,2.0,3910.0,3.0,2->3,0.5176508867282906,20.0,8.0
0.005,single,1,1612.0,1.0,3928.0,2.0,1->2,0.3909744379130284,6.0,3.0
0.005,single,1,872.0,2.0,3947.0,3.0,2->3,0.5487872852718516,13.0,12.0
0.005,single,1,4.0,2.0,3955.0,3.0,2->3,0.5772653824139333,34.0,8.0
0.005,single,1,0.0,0.0,3996.0,1.0,0->1,0.5929665117857545,970.0,2.0
0.005,single,1,3996.0,1.0,3997.0,2.0,1->2,0.3233262254079095,2.0,2.0
0.005,single,1,90.0,1.0,4022.0,2.0,1->2,0.5003749187228583,27.0,8.0
0.005,single,1,1409.0,2.0,4024.0,3.0,2->3,0.451428867027604,16.0,4.0
0.005,single,1,1993.0,2.0,4031.0,3.0,2->3,0.4344202025834243,11.0,6.0
0.005,single,1,188.0,2.0,4039.0,3.0,2->3,0.5499860677991545,10.0,10.0
0.005,single,1,69.0,2.0,4094.0,3.0,2->3,0.466466819531535,9.0,3.0
0.005,single,1,2753.0,2.0,4108.0,3.0,2->3,0.4936076319670631,9.0,6.0
0.005,single,1,2.0,2.0,4112.0,3.0,2->3,0.6173733033558297,502.0,11.0
0.005,single,1,1.0,1.0,4170.0,2.0,1->2,0.6137133737938446,782.0,4.0
0.005,single,1,1.0,1.0,4212.0,2.0,1->2,0.6024261519897972,782.0,7.0
0.005,single,1,4212.0,2.0,4213.0,3.0,2->3,0.380563058390463,7.0,2.0
0.005,single,1,1.0,1.0,4215.0,2.0,1->2,0.6210379733453086,782.0,11.0
0.005,single,1,3740.0,2.0,4219.0,3.0,2->3,0.4467427943089573,9.0,6.0
0.005,single,1,0.0,0.0,4222.0,1.0,0->1,0.6327624738776418,970.0,8.0
0.005,single,1,1993.0,2.0,4246.0,3.0,2->3,0.3285129900840679,11.0,4.0
0.005,single,1,4215.0,2.0,4252.0,3.0,2->3,0.4921959376863483,11.0,5.0
0.005,single,1,90.0,1.0,4275.0,2.0,1->2,0.5056762184027833,27.0,4.0
0.005,single,1,1993.0,2.0,4302.0,3.0,2->3,0.3455359444446992,11.0,1.0
0.005,single,1,0.0,0.0,4309.0,1.0,0->1,0.619856674551027,970.0,10.0
0.005,single,1,2733.0,2.0,4333.0,3.0,2->3,0.4424121784934776,10.0,4.0
0.005,single,1,3740.0,2.0,4337.0,3.0,2->3,0.3948649769757466,9.0,3.0
0.005,single,1,90.0,1.0,4338.0,2.0,1->2,0.485858277041679,27.0,2.0
0.005,single,1,4222.0,1.0,4355.0,2.0,1->2,0.4230174595797715,8.0,5.0
0.005,single,1,2086.0,1.0,4361.0,2.0,1->2,0.4377422362759692,21.0,11.0
0.005,single,1,1612.0,1.0,4369.0,2.0,1->2,0.3801608034796166,6.0,3.0
0.005,single,1,4369.0,2.0,4370.0,3.0,2->3,0.4111591678331357,3.0,3.0
0.005,single,1,4022.0,2.0,4372.0,3.0,2->3,0.4509065009504457,8.0,2.0
0.005,single,1,107.0,1.0,4374.0,2.0,1->2,0.408478964127167,17.0,4.0
0.005,single,1,4361.0,2.0,4380.0,3.0,2->3,0.5941427714509558,11.0,10.0
0.005,single,1,4215.0,2.0,4383.0,3.0,2->3,0.4505465044602427,11.0,2.0
0.005,single,1,3406.0,2.0,4386.0,3.0,2->3,0.4050588860074114,5.0,5.0
