depth,gamma,eta,alpha,layer,entropy_wavg_mean,entropy_wavg_std,distinctiveness_wavg_jsd_mean,distinctiveness_wavg_jsd_std,nodes_in_layer_mean,nodes_in_layer_std
4,0.001,0.1,0.1,0,4.85669651559603,0.01960201917487858,0.0,0.0,1.0,0.0
4,0.001,0.1,0.1,1,4.523365832326954,0.10463083934536535,0.5933330536233782,0.03418757256577975,17.0,3.0
4,0.001,0.1,0.1,2,4.250472745926406,0.09658912520598963,0.6421545358895321,0.008034600143315248,68.0,4.58257569495584
4,0.001,0.1,0.1,3,4.066415188013559,0.23464928923914966,0.6370571600815108,0.008616448156779328,157.66666666666666,13.051181300301257
4,0.005,0.1,0.1,0,4.914411172902633,0.030439225854210255,0.0,0.0,1.0,0.0
4,0.005,0.1,0.1,1,4.554441605470119,0.11468369834155961,0.5895197446954235,0.02797571418173149,16.666666666666668,2.5166114784235836
4,0.005,0.1,0.1,2,4.278449831053153,0.23134822182939047,0.6326742197949634,0.006003433637577327,65.0,2.6457513110645907
4,0.005,0.1,0.1,3,4.174456920922065,0.14269613934092146,0.6269841751341403,0.0037437261728347515,153.66666666666666,12.05542754668342
4,0.01,0.1,0.1,0,4.798699349754479,0.03330169461630462,0.0,0.0,1.0,0.0
4,0.01,0.1,0.1,1,4.478737437432741,0.06479891127696012,0.5886176619851994,0.03180886184311439,16.666666666666668,3.511884584284246
4,0.01,0.1,0.1,2,3.8776147643184817,0.13505369144135154,0.6415347833792203,0.006530782634442417,71.33333333333333,4.725815626252606
4,0.01,0.1,0.1,3,3.9232263333615194,0.05084653110814603,0.646301820127735,0.004067778840534049,172.66666666666666,9.073771725877462
4,0.05,0.1,0.1,0,4.785912006081806,0.036464637571626234,0.0,0.0,1.0,0.0
4,0.05,0.1,0.1,1,4.4786490470107845,0.0274361317780952,0.5816290417405214,0.023969067200999856,16.333333333333332,2.5166114784235827
4,0.05,0.1,0.1,2,4.040554363868229,0.22549179150554796,0.6549855012395459,0.010001520883565339,68.33333333333333,7.02376916856849
4,0.05,0.1,0.1,3,3.9161061883293207,0.07211891498893144,0.6406285269283628,0.005873128400520765,179.0,9.16515138991168
4,0.1,0.1,0.1,0,4.845463906319249,0.05374376099985769,0.0,0.0,1.0,0.0
4,0.1,0.1,0.1,1,4.535504293062388,0.1322453649333846,0.5765406028069943,0.045434307848496606,16.666666666666668,5.686240703077327
4,0.1,0.1,0.1,2,4.112648821035566,0.15299931959809102,0.6475691239399096,0.006120589872051299,70.33333333333333,5.131601439446884
4,0.1,0.1,0.1,3,3.927819520220746,0.14928365411773223,0.6432781532886759,0.007694580974273371,188.33333333333334,17.502380790433435
