layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.91998067327374
1,37,666,666,336.87487986856905,0.5058181379407943,970,5.012613638764714
2,156,12090,12090,6086.93159751353,0.5034682876355276,970,5.010777628450726
