iteration,leaf_node_id,document_id,layer_0_node_id,layer_1_node_id,layer_2_node_id
0,2,0,0,1,2
0,2,18,0,1,2
0,2,41,0,1,2
0,2,43,0,1,2
0,2,46,0,1,2
0,2,52,0,1,2
0,2,72,0,1,2
0,2,74,0,1,2
0,2,99,0,1,2
0,2,133,0,1,2
0,2,136,0,1,2
0,2,137,0,1,2
0,2,139,0,1,2
0,2,158,0,1,2
0,2,162,0,1,2
0,2,170,0,1,2
0,2,180,0,1,2
0,2,182,0,1,2
0,2,185,0,1,2
0,2,194,0,1,2
0,2,207,0,1,2
0,2,208,0,1,2
0,2,229,0,1,2
0,2,230,0,1,2
0,2,233,0,1,2
0,2,244,0,1,2
0,2,250,0,1,2
0,2,261,0,1,2
0,2,268,0,1,2
0,2,271,0,1,2
0,2,273,0,1,2
0,2,274,0,1,2
0,2,287,0,1,2
0,2,288,0,1,2
0,2,302,0,1,2
0,2,304,0,1,2
0,2,306,0,1,2
0,2,310,0,1,2
0,2,312,0,1,2
0,2,320,0,1,2
0,2,346,0,1,2
0,2,387,0,1,2
0,2,394,0,1,2
0,2,410,0,1,2
0,2,412,0,1,2
0,2,417,0,1,2
0,2,438,0,1,2
0,2,443,0,1,2
0,2,445,0,1,2
0,2,455,0,1,2
0,2,510,0,1,2
0,2,518,0,1,2
0,2,521,0,1,2
0,2,528,0,1,2
0,2,544,0,1,2
0,2,546,0,1,2
0,2,560,0,1,2
0,2,564,0,1,2
0,2,575,0,1,2
0,2,587,0,1,2
0,2,595,0,1,2
0,2,606,0,1,2
0,2,628,0,1,2
0,2,645,0,1,2
0,2,666,0,1,2
0,2,685,0,1,2
0,2,688,0,1,2
0,2,746,0,1,2
0,2,753,0,1,2
0,2,777,0,1,2
0,2,779,0,1,2
0,2,781,0,1,2
0,2,806,0,1,2
0,2,818,0,1,2
0,2,820,0,1,2
0,2,829,0,1,2
0,2,832,0,1,2
0,2,857,0,1,2
0,2,859,0,1,2
0,2,870,0,1,2
0,2,885,0,1,2
0,2,891,0,1,2
0,2,907,0,1,2
0,2,912,0,1,2
0,2,938,0,1,2
0,2,947,0,1,2
0,2,956,0,1,2
0,2,964,0,1,2
0,2,965,0,1,2
0,28,214,0,1,28
0,28,280,0,1,28
0,28,319,0,1,28
0,28,325,0,1,28
0,28,465,0,1,28
0,28,943,0,1,28
0,40,237,0,3,40
0,40,321,0,3,40
0,40,372,0,3,40
0,40,392,0,3,40
0,40,801,0,3,40
0,40,876,0,3,40
0,40,903,0,3,40
0,53,28,0,1,53
0,53,42,0,1,53
0,53,168,0,1,53
0,53,433,0,1,53
0,53,480,0,1,53
0,53,529,0,1,53
0,53,536,0,1,53
0,53,620,0,1,53
0,53,784,0,1,53
0,53,792,0,1,53
0,53,811,0,1,53
0,53,813,0,1,53
0,53,919,0,1,53
0,53,923,0,1,53
0,53,939,0,1,53
0,53,966,0,1,53
0,66,17,0,1,66
0,66,24,0,1,66
0,66,173,0,1,66
0,66,308,0,1,66
0,66,309,0,1,66
0,66,344,0,1,66
0,66,375,0,1,66
0,66,408,0,1,66
0,66,409,0,1,66
0,66,436,0,1,66
0,66,441,0,1,66
0,66,468,0,1,66
0,66,494,0,1,66
0,66,512,0,1,66
0,66,585,0,1,66
0,66,672,0,1,66
0,66,821,0,1,66
0,66,844,0,1,66
0,66,864,0,1,66
0,66,914,0,1,66
0,66,932,0,1,66
0,71,60,0,1,71
0,71,219,0,1,71
0,71,228,0,1,71
0,71,365,0,1,71
0,71,466,0,1,71
0,71,700,0,1,71
0,71,711,0,1,71
0,71,754,0,1,71
0,71,760,0,1,71
0,71,790,0,1,71
0,71,853,0,1,71
0,71,899,0,1,71
0,122,70,0,1,122
0,122,78,0,1,122
0,122,130,0,1,122
0,122,140,0,1,122
0,122,260,0,1,122
0,122,269,0,1,122
0,122,362,0,1,122
0,122,381,0,1,122
0,122,452,0,1,122
0,122,463,0,1,122
0,122,475,0,1,122
0,122,491,0,1,122
0,122,622,0,1,122
0,122,662,0,1,122
0,122,764,0,1,122
0,122,908,0,1,122
0,129,82,0,1,129
0,129,376,0,1,129
0,129,453,0,1,129
0,129,574,0,1,129
0,129,586,0,1,129
0,129,683,0,1,129
0,129,824,0,1,129
0,129,861,0,1,129
0,129,910,0,1,129
0,129,958,0,1,129
0,166,128,0,1,166
0,166,324,0,1,166
0,166,451,0,1,166
0,166,894,0,1,166
0,193,47,0,1,193
0,193,66,0,1,193
0,193,76,0,1,193
0,193,85,0,1,193
0,193,263,0,1,193
0,193,323,0,1,193
0,193,624,0,1,193
0,193,676,0,1,193
0,193,854,0,1,193
0,214,64,0,1,214
0,214,77,0,1,214
0,214,190,0,1,214
0,214,226,0,1,214
0,214,241,0,1,214
0,214,294,0,1,214
0,214,328,0,1,214
0,214,331,0,1,214
0,214,334,0,1,214
0,214,338,0,1,214
0,214,357,0,1,214
0,214,367,0,1,214
0,214,591,0,1,214
0,214,599,0,1,214
0,214,646,0,1,214
0,214,687,0,1,214
0,214,728,0,1,214
0,214,823,0,1,214
0,214,830,0,1,214
0,214,831,0,1,214
0,214,895,0,1,214
0,214,901,0,1,214
0,306,45,0,1,306
0,306,104,0,1,306
0,306,163,0,1,306
0,306,259,0,1,306
0,306,339,0,1,306
0,306,382,0,1,306
0,306,396,0,1,306
0,306,601,0,1,306
0,306,671,0,1,306
0,306,705,0,1,306
0,321,51,0,1,321
0,321,224,0,1,321
0,321,236,0,1,321
0,321,238,0,1,321
0,321,369,0,1,321
0,321,388,0,1,321
0,321,439,0,1,321
0,321,487,0,1,321
0,321,598,0,1,321
0,321,638,0,1,321
0,321,723,0,1,321
0,321,785,0,1,321
0,321,897,0,1,321
0,344,59,0,1,344
0,344,112,0,1,344
0,344,155,0,1,344
0,344,191,0,1,344
0,344,242,0,1,344
0,344,290,0,1,344
0,344,305,0,1,344
0,344,351,0,1,344
0,344,707,0,1,344
0,344,730,0,1,344
0,344,775,0,1,344
0,344,955,0,1,344
0,406,38,0,137,406
0,406,471,0,137,406
0,406,472,0,137,406
0,406,547,0,137,406
0,406,583,0,137,406
0,406,607,0,137,406
0,406,633,0,137,406
0,406,649,0,137,406
0,406,750,0,137,406
0,406,770,0,137,406
0,413,212,0,412,413
0,413,336,0,412,413
0,413,464,0,412,413
0,413,561,0,412,413
0,413,568,0,412,413
0,413,629,0,412,413
0,413,763,0,412,413
0,413,768,0,412,413
0,445,423,0,1,445
0,445,431,0,1,445
0,445,440,0,1,445
0,445,769,0,1,445
0,445,866,0,1,445
0,445,949,0,1,445
0,445,954,0,1,445
0,449,12,0,1,449
0,449,50,0,1,449
0,449,57,0,1,449
0,449,92,0,1,449
0,449,243,0,1,449
0,449,283,0,1,449
0,449,361,0,1,449
0,449,373,0,1,449
0,449,486,0,1,449
0,449,506,0,1,449
0,449,526,0,1,449
0,449,732,0,1,449
0,449,766,0,1,449
0,449,916,0,1,449
0,449,917,0,1,449
0,449,935,0,1,449
0,463,22,0,1,463
0,463,143,0,1,463
0,463,495,0,1,463
0,463,602,0,1,463
0,463,618,0,1,463
0,463,636,0,1,463
0,463,644,0,1,463
0,463,647,0,1,463
0,463,648,0,1,463
0,463,658,0,1,463
0,463,719,0,1,463
0,463,744,0,1,463
0,463,773,0,1,463
0,463,934,0,1,463
0,481,56,0,1,481
0,481,90,0,1,481
0,481,197,0,1,481
0,481,234,0,1,481
0,481,691,0,1,481
0,481,749,0,1,481
0,481,905,0,1,481
0,481,953,0,1,481
0,567,71,0,1,567
0,567,296,0,1,567
0,567,399,0,1,567
0,567,407,0,1,567
0,567,589,0,1,567
0,567,759,0,1,567
0,567,767,0,1,567
0,567,776,0,1,567
0,581,454,0,1,581
0,581,663,0,1,581
0,581,738,0,1,581
0,581,896,0,1,581
0,581,941,0,1,581
0,581,948,0,1,581
0,607,80,0,606,607
0,607,154,0,606,607
0,607,217,0,606,607
0,607,298,0,606,607
0,607,383,0,606,607
0,607,425,0,606,607
0,607,442,0,606,607
0,607,549,0,606,607
0,607,551,0,606,607
0,607,570,0,606,607
0,607,655,0,606,607
0,607,717,0,606,607
0,607,807,0,606,607
0,627,81,0,1,627
0,627,107,0,1,627
0,627,252,0,1,627
0,627,275,0,1,627
0,627,278,0,1,627
0,627,327,0,1,627
0,627,348,0,1,627
0,627,386,0,1,627
0,627,416,0,1,627
0,627,420,0,1,627
0,627,469,0,1,627
0,627,511,0,1,627
0,627,566,0,1,627
0,627,617,0,1,627
0,627,632,0,1,627
0,627,656,0,1,627
0,627,851,0,1,627
0,627,892,0,1,627
0,627,913,0,1,627
0,627,933,0,1,627
0,787,89,0,1,787
0,787,108,0,1,787
0,787,175,0,1,787
0,787,222,0,1,787
0,787,256,0,1,787
0,787,326,0,1,787
0,787,379,0,1,787
0,787,432,0,1,787
0,787,447,0,1,787
0,787,623,0,1,787
0,787,675,0,1,787
0,787,680,0,1,787
0,787,729,0,1,787
0,787,880,0,1,787
0,787,952,0,1,787
0,887,75,0,1,887
0,887,446,0,1,887
0,887,609,0,1,887
0,887,915,0,1,887
0,999,88,0,1,999
0,999,127,0,1,999
0,999,188,0,1,999
0,999,240,0,1,999
0,999,300,0,1,999
0,999,337,0,1,999
0,999,722,0,1,999
0,999,757,0,1,999
0,999,783,0,1,999
0,1046,39,0,1,1046
0,1046,145,0,1,1046
0,1046,189,0,1,1046
0,1046,251,0,1,1046
0,1046,257,0,1,1046
0,1046,406,0,1,1046
0,1046,462,0,1,1046
0,1046,758,0,1,1046
0,1046,819,0,1,1046
0,1246,156,0,137,1246
0,1246,476,0,137,1246
0,1246,488,0,137,1246
0,1246,515,0,137,1246
0,1246,593,0,137,1246
0,1246,689,0,137,1246
0,1246,833,0,137,1246
0,1246,944,0,137,1246
0,1249,65,0,953,1249
0,1249,535,0,953,1249
0,1249,562,0,953,1249
0,1249,584,0,953,1249
0,1249,603,0,953,1249
0,1249,614,0,953,1249
0,1249,621,0,953,1249
0,1249,695,0,953,1249
0,1416,11,0,1,1416
0,1416,95,0,1,1416
0,1416,115,0,1,1416
0,1416,267,0,1,1416
0,1416,461,0,1,1416
0,1416,504,0,1,1416
0,1416,684,0,1,1416
0,1416,701,0,1,1416
0,1416,726,0,1,1416
0,1416,735,0,1,1416
0,1416,789,0,1,1416
0,1469,374,0,1,1469
0,1469,597,0,1,1469
0,1469,740,0,1,1469
0,1469,825,0,1,1469
0,1471,36,0,1,1471
0,1471,97,0,1,1471
0,1471,144,0,1,1471
