layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,5.140905797204844,0.02
1,74,2701,2701,1729.70327320285,0.6403936590902813,970,4.083799729568441,0.02
2,313,48828,48828,32058.845184849484,0.6565668301968027,970,3.818930630097578,0.02
