layer,node1_id,node2_id,js_distance,node1_doc_count,node2_doc_count
1,1,983,0.7538301762836342,412,13
1,1,3,0.7180331532185228,412,17
1,1,1490,0.712904473020497,412,12
1,1,953,0.6978330629282895,412,12
1,1,2320,0.7510729327415366,412,22
1,1,606,0.7507667057702265,412,12
1,1,2357,0.7640845213137006,412,8
1,1,137,0.7392536833983844,412,13
1,1,2190,0.7191379043509166,412,12
1,1,2917,0.7297903816796593,412,14
1,1,3691,0.72108313663043,412,23
1,1,2386,0.7404951743936844,412,10
1,1,6,0.7616962141742322,412,15
1,1,26,0.7099335055943231,412,5
1,1,412,0.7353628309063183,412,7
1,1,3879,0.7189210831024331,412,10
1,1,35,0.7334844350140891,412,6
1,1,3357,0.72539289706467,412,7
1,1,937,0.7243281816779827,412,13
1,1,725,0.7519175224024052,412,14
1,1,4279,0.7109806205441949,412,6
1,1,5144,0.7299579865344203,412,3
1,1,5396,0.7031312474150169,412,3
1,1,5868,0.7183721504879568,412,8
1,1,6418,0.7305024352840177,412,10
1,1,7742,0.7180462369750813,412,5
1,1,7837,0.7011738462987159,412,10
1,1,8509,0.692408611606083,412,9
1,1,8908,0.68607148322936,412,3
1,1,9365,0.7632626952273077,412,16
1,1,11113,0.721493812320392,412,9
1,1,11425,0.7489862558257998,412,11
1,1,11507,0.7293727402568471,412,5
1,1,11889,0.7042644093389626,412,11
1,1,11957,0.7234277075520603,412,6
1,1,12052,0.6987445049334539,412,2
1,1,12130,0.7355244090323293,412,12
1,1,12347,0.6938695311721276,412,4
1,1,12839,0.7048349397146213,412,4
1,1,13484,0.6700490507843448,412,3
1,1,13893,0.6803001950316251,412,6
1,1,14228,0.6933422527690521,412,2
1,1,14307,0.7306038597460595,412,7
1,1,14313,0.7419138349828218,412,6
1,1,14859,0.7290057847081891,412,8
1,1,15009,0.7002059218909513,412,5
1,1,15059,0.7249637609753595,412,5
1,1,15262,0.7058817053124847,412,6
1,1,15571,0.6905106112639486,412,9
1,1,15599,0.7174254749497376,412,3
1,1,15750,0.7063845931173502,412,13
1,1,15795,0.7211140970944051,412,11
1,1,15841,0.6911435258256868,412,5
1,1,16005,0.7363520917786286,412,4
1,1,16060,0.7729436451362096,412,8
1,1,16238,0.7109363061600789,412,9
1,1,16660,0.6894237793060923,412,6
1,1,17259,0.7274304494124377,412,6
1,1,17395,0.6778710441500584,412,4
1,1,17452,0.7300337569518227,412,8
1,1,17771,0.695467224060866,412,6
1,1,17849,0.7051207825224207,412,4
1,1,17908,0.7315588518788041,412,3
1,1,17938,0.739589558437195,412,4
1,1,18514,0.7191551187747378,412,1
1,1,18629,0.660848370834452,412,1
1,1,18915,0.680821217078817,412,3
1,1,18953,0.6996043499332851,412,2
1,1,19056,0.7360562342976799,412,4
1,1,19097,0.6952071319877721,412,2
1,1,19109,0.6978519085560794,412,4
1,1,19135,0.7128161783525504,412,3
1,1,19149,0.7465291315036691,412,5
1,983,3,0.7387401558136729,13,17
1,983,1490,0.699615224812061,13,12
